Name,Price (Intraday),Change,Market Cap,Volume in Currency,Circulating Supply
GateToken USD,4.278,-0.0618,417.978M,"832,955",417.978M
Casper USD,0.036803,-0.000395,410.994M,2.926M,410.994M
WOO Network USD,0.220751,-0.001026,380.428M,9.154M,380.428M
Dash USD,33.43,-0.36,379.866M,44.085M,379.866M
Nexo USD,0.625434,0.010886,350.243M,3.536M,350.243M
Trust Wallet Token USD,0.831668,-0.006269,346.514M,7.137M,346.514M
Zilliqa USD,0.02086,-0.000089,330.998M,15.816M,330.998M
THORChain USD,0.992287,-0.007389,331.329M,18.323M,331.329M
SingularityNET USD,0.259407,0.028703,318.349M,89.675M,318.349M
Convex Finance USD,3.9926,-0.0845,314.638M,4.765M,314.638M
PancakeSwap USD,1.4982,0.0061,311.998M,19.6M,311.998M
FLEX USD,3.164,0.1576,312.178M,"322,273",312.178M
Loopring USD,0.23104,0.001789,307.636M,13.71M,307.636M
1inch Network USD,0.319735,-0.012422,303.25M,28.556M,303.25M
USDJ USD,1.0977,0.0015,299.985M,"819,912",299.985M
Gnosis USD,115.91,1.06,300.166M,1.672M,300.166M
Enjin Coin USD,0.299629,-0.004279,299.629M,9.741M,299.629M
Liquity USD USD,0.998591,-0.000194,294.283M,1.51M,294.283M
Bone ShibaSwap USD,1.2768,-0.0113,293.562M,8.956M,293.562M
dYdX USD,1.8804,0.0232,293.823M,30.427M,293.823M
Basic Attention Token USD,0.195418,0.000028,291.038M,12.675M,291.038M
MX TOKEN USD,2.8851,0.0676,288.514M,3.478M,288.514M
Qtum USD,2.75,-0.0409,288.028M,30.051M,288.028M
Mask Network USD,3.4835,0.0644,286.039M,61.158M,286.039M
Ethereum Name Service USD,9.8932,0.3344,283.937M,17.626M,283.937M
Oasis Network USD,0.04926,0.000438,282.05M,9.365M,282.05M
Huobi BTC USD,"30,455.98",-338.2,273.175M,"15,768",273.175M
Chia USD,34.01,0.56,267.857M,2.777M,267.857M
NEM USD,0.029356,-0.003024,264.202M,45.957M,264.202M
Theta Fuel USD,0.041305,0.001963,256.379M,21.811M,256.379M
Bitcoin Gold USD,14.45,0.23,253.121M,2.382M,253.121M
STEPN USD,0.225832,0.002091,248.788M,74.124M,248.788M
Decred USD,16.11,0.7,246.945M,6.958M,246.945M
DeFiChain USD,0.341677,-0.000897,247.406M,3.233M,247.406M
Ravencoin USD,0.019368,-0.000014,246.829M,4.398M,246.829M
Ankr USD,0.024643,0.000015,246.432M,15.749M,246.432M
Blur USD,0.321557,-0.005077,244.716M,17.004M,244.716M
Osmosis USD,0.493371,-0.001786,243.03M,5.519M,243.03M
Celo USD,0.48172,-0.014607,243.313M,6.93M,243.313M
Balancer USD,4.684,0.0572,238.536M,2.606M,238.536M
Flare USD,0.013152,-0.000109,238.462M,5.411M,238.462M
Beldex USD,0.044491,-0.001772,237.062M,6.379M,237.062M
FLOKI USD,0.000025,0,234.546M,11.634M,234.546M
yearn.finance USD,"7,006.83",-15.73,231.478M,11.246M,231.478M
tomiNet USD,3.4832,-0.0936,227.698M,26.304M,227.698M
Ocean Protocol USD,0.367958,0.01017,225.595M,22.738M,225.595M
Helium USD,1.5685,0.0936,225.759M,11.075M,225.759M
Holo USD,0.001303,-0.000011,223.597M,6.861M,223.597M
FINSCHIA USD,31.99,-1.55,223.2M,"435,247",223.2M
Waves USD,1.9912,-0.0695,222.895M,143.31M,222.895M
ICON USD,0.226444,0.002696,217.686M,9.27M,217.686M
Edgecoin USD,1.0001,-0.0003,210.026M,13.507M,210.026M
Solar USD,0.367637,-0.003243,209.858M,11.905M,209.858M
WEMIX USD,0.671198,0.000691,208.496M,2.131M,208.496M
JUST USD,0.023346,-0.000031,207.827M,9.366M,207.827M
EthereumPoW USD,1.917,0.0001,206.69M,7.144M,206.69M
Threshold USD,0.02317,-0.000501,204.648M,13.206M,204.648M
Golem USD,0.204581,0.006944,204.581M,10.151M,204.581M
Kusama USD,24.1,0.06,204.148M,5.459M,204.148M
Baby Doge Coin USD,0,0,200.016M,2.35M,200.016M
JasmyCoin USD,0.004074,-0.00005,197.932M,11.42M,197.932M
Audius USD,0.181844,0.000129,192.509M,4.528M,192.509M
Arweave USD,5.6989,-0.1661,190.314M,4.487M,190.314M
Astar USD,0.042446,-0.000366,189.603M,2.719M,189.603M
Fetch.ai USD,0.230028,0.014804,188.917M,49.238M,188.917M
Terra USD,0.585332,-0.006966,187.414M,19.014M,187.414M
ssv.network USD,18.54,0.11,185.436M,5.776M,185.436M
IoTeX USD,0.019192,0.000307,181.289M,3.504M,181.289M
Siacoin USD,0.003316,-0.000014,181.055M,3.121M,181.055M
0x Protocol USD,0.210974,-0.000758,178.8M,12.165M,178.8M
Ontology USD,0.203252,-0.000476,177.896M,21.61M,177.896M
Hive USD,0.354703,0.006948,177.617M,6.365M,177.617M
MAGIC USD,0.790307,-0.018502,173.852M,19.356M,173.852M
Wrapped Beacon ETH USD,"1,893.06",-17.93,173.639M,"244,547",173.639M
aelf USD,0.27827,-0.001199,173.219M,3.923M,173.219M
SafePal USD,0.454642,0.008661,168.066M,3.461M,168.066M
WAX USD,0.049919,-0.000869,166.061M,3.794M,166.061M
Aragon USD,4.121,-0.0117,164.964M,7.536M,164.964M
Symbol USD,0.028391,-0.000959,164.478M,"756,825",164.478M
Moonbeam USD,0.240296,-0.000345,164.184M,1.98M,164.184M
IOST USD,0.008717,-0.000003,163.08M,11.242M,163.08M
Pendle USD,0.79054,-0.001663,160.198M,14.424M,160.198M
Harmony USD,0.01197,-0.000092,160.328M,9.198M,160.328M
Ronin USD,0.692966,0.002066,159.626M,1.128M,159.626M
Ordinals USD,7.3969,-0.4217,155.334M,16.769M,155.334M
Band Protocol USD,1.1979,-0.0087,152.747M,4.218M,152.747M
LUKSO USD,8.0448,-0.3159,149.634M,"352,454",149.634M
SushiSwap USD,0.644931,-0.001961,148.82M,12.698M,148.82M
Gains Network USD,4.8598,0.2087,147.998M,7.832M,147.998M
BORA USD,0.148529,-0.00022,147.601M,8.337M,147.601M
Tribe USD,0.281317,-0.001883,145.128M,"164,238",145.128M
Illuvium USD,41.54,0.19,143.612M,4.354M,143.612M
Biconomy USD,0.235594,0.001155,142.027M,3.208M,142.027M
Kadena USD,0.595089,-0.001489,142.059M,1.693M,142.059M
SwissBorg USD,0.14197,0.000301,141.97M,"143,284",141.97M
STASIS EURO USD,1.1088,0.0107,137.63M,"558,834",137.63M
Stargate Finance USD,0.668529,0.01362,136.606M,37.21M,136.606M
Core USD,0.914927,0.004636,134.673M,6.99M,134.673M
Flux USD,0.426307,0.017094,134.149M,18.841M,134.149M
Polymath USD,0.144631,0.017525,133.783M,"102,506",133.783M
Centrifuge USD,0.366263,0.037333,131.951M,1.391M,131.951M
DigiByte USD,0.008046,-0.000029,131.646M,1.894M,131.646M
SKALE USD,0.027792,-0.00023,129.181M,4.094M,129.181M
Open Campus USD,0.681846,0.00478,127.775M,14.443M,127.775M
Alchemy Pay USD,0.019546,0.000295,126.28M,12.021M,126.28M
Livepeer USD,4.3747,0.0025,124.208M,3.208M,124.208M
Axelar USD,0.375873,0.001986,121.917M,1.599M,121.917M
Cartesi USD,0.162188,0.00188,120.227M,19.284M,120.227M
DAO Maker USD,0.830607,0.006105,119.56M,"902,381",119.56M
MobileCoin USD,0.60992,-0.00014,119.109M,"833,164",119.109M
TerraClassicUSD USD,0.012194,0.000061,119.412M,5.099M,119.412M
Storj USD,0.312057,-0.009732,119.007M,21.812M,119.007M
TomoChain USD,1.1545,-0.0409,117.288M,9.407M,117.288M
JOE USD,0.348153,0.001413,117.131M,7.911M,117.131M
UMA USD,1.6121,-0.0052,116.839M,4.492M,116.839M
Celer Network USD,0.01534,-0.000187,116.472M,2.52M,116.472M
Horizen USD,8.3432,0.1982,115.945M,6.849M,115.945M
Nervos Network USD,0.002761,-0.000071,114.403M,2.678M,114.403M
Everscale USD,0.061643,0.000717,110.771M,4.897M,110.771M
Lisk USD,0.85433,-0.00022,110.124M,3.923M,110.124M
inSure DeFi USD,0.004043,0.000048,108.324M,"192,892",108.324M
Rootstock Smart Bitcoin USD,"30,610.53",-160.07,107.157M,"40,536",107.157M
Ribbon Finance USD,0.198223,-0.01777,106.206M,"973,505",106.206M
Reserve Rights USD,0.002111,0.000011,106.823M,5.325M,106.823M
Kyber Network Crystal v2 USD,0.628587,0.049536,107.305M,40.626M,107.305M
Ontology Gas USD,0.304936,-0.022087,105.9M,164.708M,105.9M
Verge USD,0.006395,-0.000312,105.645M,29.707M,105.645M
OriginTrail USD,0.263877,0.010158,104.685M,"971,530",104.685M
Bitgert USD,0.00000026,0,103.865M,2.482M,103.865M
Keep Network USD,0.109397,-0.003468,103.483M,"388,345",103.483M
ONUS USD,1.063,-0.0051,103.223M,15,103.223M
Liquity USD,1.1119,0.043,103.118M,55.539M,103.118M
MiL.k USD,0.344787,-0.004821,101.784M,9.512M,101.784M
Pundi X (New) USD,0.392772,0.003022,101.528M,3.647M,101.528M
Metars Genesis USD,1.5723,-0.0109,98.816M,"72,321",98.816M
PlayDapp USD,0.176915,-0.001477,99.095M,41.805M,99.095M
Polymesh USD,0.142441,0.006418,98.414M,19.224M,98.414M
Nano USD,0.730328,-0.007502,97.315M,"999,962",97.315M
Telcoin USD,0.001433,-0.000023,97.229M,"279,840",97.229M
Metal DAO USD,1.4584,-0.0607,97.114M,40.742M,97.114M
VVS Finance USD,0.00000266,0,96.366M,"289,248",96.366M
Astrafer USD,0.614478,-0.001609,96.115M,"15,278",96.115M
Status USD,0.024494,-0.000159,94.37M,1.784M,94.37M
Powerledger USD,0.19917,0.021915,95.612M,111.718M,95.612M
Steem USD,0.21334,-0.009117,93.601M,221.919M,93.601M
ABBC Coin USD,0.063975,0.000991,90.944M,12.277M,90.944M
APENFT USD,0.00000033,0,90.494M,7.756M,90.494M
Decimal USD,0.020881,-0.000207,90.102M,"132,847",90.102M
Synapse USD,0.643229,-0.002026,89.906M,2.148M,89.906M
iExec RLC USD,1.2353,0.0119,89.417M,3.145M,89.417M
Galxe USD,1.1974,0.0128,89.427M,5.501M,89.427M
dKargo USD,0.02931,0.000154,88.749M,1.991M,88.749M
NYM USD,0.186827,-0.000596,88.432M,"430,668",88.432M
Syscoin USD,0.118211,-0.00009,88.223M,1.084M,88.223M
USDX [Kava] USD,0.788765,0.011732,88M,1.279M,88M
API3 USD,1.0086,-0.0179,87.169M,2.117M,87.169M
SPACE ID USD,0.256973,-0.002204,86.947M,18.709M,86.947M
Civic USD,0.086673,-0.004029,86.673M,10.974M,86.673M
Rootstock Infrastructure Framework USD,0.089163,-0.000662,86.787M,1.119M,86.787M
OMG Network USD,0.617113,-0.009996,86.547M,9.438M,86.547M
Wilder World USD,0.343084,0.004376,85.883M,"348,762",85.883M
Dogelon Mars USD,0.00000016,0,85.793M,1.481M,85.793M
Amp USD,0.002028,0.000006,85.651M,3.91M,85.651M
Maverick Protocol USD,0.342058,-0.01769,85.515M,19.092M,85.515M
Vulcan Forged PYR USD,3.1264,-0.0613,84.983M,3.568M,84.983M
Secret USD,0.401254,0.000926,84.692M,1.392M,84.692M
DeXe USD,2.3124,-0.0065,84.402M,"579,656",84.402M
Request USD,0.084108,0.004195,84.088M,3M,84.088M
Wrapped NXM USD,29.07,-0.12,84.202M,1.017M,84.202M
AVINOC USD,0.213485,0.004874,83.098M,"96,935",83.098M
Numeraire USD,13.19,0.17,82.724M,2.953M,82.724M
STP USD,0.0423,0.000539,82.165M,2.716M,82.165M
Orbs USD,0.025801,0.000259,81.729M,1.991M,81.729M
Radicle USD,1.6339,0.0299,81.418M,5.617M,81.418M
Energy Web Token USD,2.702,0.0021,81.227M,"815,683",81.227M
Stella USD,0.101698,0.000277,81.155M,5.439M,81.155M
MetisDAO USD,17.99,-0.33,80.329M,2.213M,80.329M
Radiant Capital USD,0.279897,-0.007048,80.221M,11.329M,80.221M
MediBloc USD,0.011554,-0.000068,79.822M,2.606M,79.822M
Decentralized Social USD,8.9395,0.0745,79.423M,3.353M,79.423M
Centurion USD,1.0118,0.0013,78.583M,0,78.583M
VeThor Token USD,0.001218,-0.000015,78.741M,1.188M,78.741M
Coin98 USD,0.147031,-0.002086,78.131M,5.16M,78.131M
Stratis USD,0.515441,0.013996,77.884M,9.163M,77.884M
Chromia USD,0.113383,-0.000895,77.843M,5.426M,77.843M
Vibing USD,0.54224,0.0175,77.584M,794,77.584M
Dent USD,0.000771,0.000001,76.323M,2.192M,76.323M
NKN USD,0.100398,0.001658,75.784M,3.148M,75.784M
MVL USD,0.003232,-0.000011,75.321M,3.092M,75.321M
XPLA USD,0.321366,-0.000129,75.179M,"87,283",75.179M
Linear Finance USD,0.013585,-0.000217,74.285M,19.395M,74.285M
Merit Circle USD,0.181014,-0.002977,72.52M,1.428M,72.52M
Artificial Liquid Intelligence USD,0.020171,-0.000067,72.377M,"208,024",72.377M
Prom USD,3.936,0.017,71.832M,1.65M,71.832M
Ardor USD,0.071685,0.000813,71.613M,1.59M,71.613M
Hippocrat USD,0.077879,-0.001613,71.135M,1.423M,71.135M
Hashflow USD,0.34485,-0.006889,70.841M,4.828M,70.841M
Venus USD,4.5585,0.0946,70.291M,2.505M,70.291M
Ergo USD,1.1944,-0.0148,70.036M,"343,125",70.036M
BinaryX USD,0.259815,0.013536,69.409M,2.637M,69.409M
Marlin USD,0.008475,-0.000111,68.543M,3.752M,68.543M
Smooth Love Potion USD,0.001624,-0.000021,67.972M,4.767M,67.972M
WINkLink USD,0.00007,-0.000001,67.052M,4.881M,67.052M
ConstitutionDAO USD,0.013231,0.000059,66.953M,5.339M,66.953M
Covalent USD,0.109372,0.004929,66.489M,"527,575",66.489M
XSGD USD,0.749549,0.003442,66.291M,"306,392",66.291M
MARBLEX USD,1.129,0.0363,66.027M,1.719M,66.027M
Bifrost USD,0.046255,0.000266,64.138M,"296,897",64.138M
ARPA USD,0.050659,0.001306,62.963M,13.633M,62.963M
Clash of Lilliput USD,0.767454,-0.033542,62.988M,"51,377",62.988M
Mdex USD,0.066048,-0.001938,62.762M,1.788M,62.762M
Akash Network USD,0.543607,0.002009,61.896M,1.308M,61.896M
Ankr Staked ETH USD,"2,110.47",-15.15,61.9M,"321,920",61.9M
Neutron USD,0.406874,-0.005901,61.807M,"165,825",61.807M
COTI USD,0.050957,0.000791,61.816M,3.356M,61.816M
Phala Network USD,0.105188,0.003268,61.426M,3.904M,61.426M
Ultra USD,0.180823,-0.003546,61.408M,"776,455",61.408M
Gitcoin USD,0.963406,0.027126,61.003M,3.367M,61.003M
Ren USD,0.060909,0.000088,60.856M,3.277M,60.856M
Beta Finance USD,0.085275,-0.000629,60.339M,2.693M,60.339M
Function X USD,0.147661,-0.000894,60.322M,"174,816",60.322M
MOBOX USD,0.291532,-0.005999,59.687M,3.796M,59.687M
IQ USD,0.004783,0.00001,59.885M,63.636M,59.885M
Locus Chain USD,0.028478,-0.000863,59.264M,"394,462",59.264M
Loom Network USD,0.048817,0.000693,59.04M,27.625M,59.04M
Bancor USD,0.392871,-0.001511,58.741M,3.454M,58.741M
Hifi Finance (Old) USD,0.00585,-0.000022,58.498M,"39,857",58.498M
Concordium USD,0.00853,-0.000395,58.313M,"518,992",58.313M
Dero USD,4.2456,-0.1918,58.192M,"149,295",58.192M
QuarkChain USD,0.008994,0.000258,57.558M,3.72M,57.558M
Aura Finance USD,1.5865,-0.0225,57.576M,"395,020",57.576M
Vai USD,0.994363,0.001572,57.174M,"6,759",57.174M
cVault.finance USD,"5,719.77",-6.61,57.198M,"2,816",57.198M
Vega Protocol USD,1.0944,-0.0121,56.506M,"398,135",56.506M
Escroco Emerald USD,0.054178,0.008811,54.178M,8,54.178M
Oasys USD,0.062227,-0.00139,54.158M,"533,051",54.158M
Shentu USD,0.585225,0.001324,54.23M,1.997M,54.23M
Acala Token USD,0.07348,-0.000728,53.969M,4.107M,53.969M
Hooked Protocol USD,1.0803,-0.0016,54.017M,6.678M,54.017M
LooksRare USD,0.060375,-0.000636,53.639M,1.506M,53.639M
Morpheus.Network USD,1.1209,-0.0473,52.886M,"388,260",52.886M
Euro Coin USD,1.1108,0.0088,53.141M,3.899M,53.141M
SmarDex USD,0.008343,0.00071,53.168M,3.062M,53.168M
FUNToken USD,0.004831,-0.00013,52.959M,1.189M,52.959M
Sun (New) USD,0.005517,0.000016,52.528M,4.435M,52.528M
Sologenic USD,0.129827,0.010918,51.924M,"623,156",51.924M
Ark USD,0.296608,0.019728,51.678M,21.787M,51.678M
MyNeighborAlice USD,1.0286,-0.0043,51.604M,7.066M,51.604M
Spell Token USD,0.000479,-0.000001,51.477M,4.686M,51.477M
NuCypher USD,0.072672,-0.005083,51.088M,163,51.088M
Tokamak Network USD,1.4258,0.0018,51.005M,2.033M,51.005M
DEXTools USD,0.564064,0.007598,51.116M,"193,139",51.116M
Cannation USD,20.58,0.86,50.966M,35,50.966M
Bytom USD,0.02828,-0.000329,50.943M,"366,231",50.943M
Aavegotchi USD,0.962225,-0.009373,50.755M,2.143M,50.755M
LCX USD,0.065737,-0.000105,50.722M,"112,907",50.722M
Dusk USD,0.120207,0.000513,50.627M,2.755M,50.627M
MUX Protocol USD,13.13,0.1,50.194M,"367,535",50.194M
Orchid USD,0.051906,0.001065,49.966M,1.092M,49.966M
Verasity USD,0.00481,-0.000071,49.565M,4.234M,49.565M
ALEX Lab USD,0.081339,-0.000672,49.331M,"52,842",49.331M
COMBO USD,0.687961,-0.027277,48.881M,5.596M,48.881M
Doge Killer USD,453.73,29.38,48.224M,1.296M,48.224M
AllianceBlock Nexera USD,0.071241,-0.002074,48.093M,"333,532",48.093M
Aergo USD,0.11039,0.001469,48.02M,5.132M,48.02M
Adventure Gold USD,0.676903,-0.001516,47.498M,4.667M,47.498M
Dacxi USD,0.005268,-0.000693,47.413M,"192,579",47.413M
Creditcoin USD,0.203786,-0.006574,47.373M,15.454M,47.373M
XYO USD,0.003662,-0.00003,47.033M,"528,175",47.033M
World Mobile Token USD,0.108892,0.001059,46.608M,"489,119",46.608M
Braintrust USD,0.31703,-0.014505,46.346M,"300,162",46.346M
MovieBloc USD,0.002838,0.000002,46.39M,4.17M,46.39M
Dust Protocol USD,2.4186,-0.037,46.302M,"820,822",46.302M
StrikeX USD,0.053612,-0.007423,46.168M,"180,024",46.168M
Rakon USD,0.189829,-0.001322,46.101M,"47,467",46.101M
AXEL USD,0.16271,-0.001908,46.064M,"14,786",46.064M
smARTOFGIVING USD,0.624194,0.000032,46.053M,"23,368",46.053M
Highstreet USD,1.1516,-0.0042,45.824M,6.056M,45.824M
SOMESING USD,0.016128,-0.00035,45.33M,3.218M,45.33M
SuperVerse USD,0.111493,0.003118,45.344M,2.719M,45.344M
WazirX USD,0.118702,0.01631,45.327M,49.931M,45.327M
Orbit Chain USD,0.06926,0.000288,44.588M,"121,637",44.588M
Cobak Token USD,0.587064,0.023343,44.403M,2.4M,44.403M
Electroneum USD,0.002459,-0.000002,44.144M,"26,827",44.144M
RSS3 USD,0.104623,0.001264,44.051M,2.018M,44.051M
Dawn Protocol USD,0.585133,0.009248,43.572M,5.397M,43.572M
Bella Protocol USD,0.726488,0.011451,43.589M,17.464M,43.589M
CEEK VR USD,0.053772,-0.000537,43.325M,4.547M,43.325M
sUSD USD,0.993631,-0.004242,43.072M,3.355M,43.072M
Enzyme USD,18.17,-0.26,42.998M,"251,359",42.998M
Celo Dollar USD,0.998459,-0.000103,42.968M,"356,106",42.968M
Strike USD,11.27,-0.44,42.928M,6.25M,42.928M
Raydium USD,0.195434,-0.005268,42.51M,2.372M,42.51M
Badger DAO USD,2.1572,0.0148,42.444M,2.062M,42.444M
DODO USD,0.092478,-0.000874,42.087M,3.08M,42.087M
Router Protocol USD,3.475,-0.2778,41.997M,1.9M,41.997M
e-Radix USD,0.057069,0.000352,41.936M,"115,929",41.936M
Alien Worlds USD,0.011556,0.000129,41.844M,4.655M,41.844M
SingularityDAO USD,0.50562,0.019824,41.832M,1.503M,41.832M
Toko Token USD,0.256849,0.00225,41.348M,15.998M,41.348M
Origin Protocol USD,0.080757,-0.000875,41.154M,4.946M,41.154M
StormX USD,0.00409,-0.000008,40.9M,6.007M,40.9M
TrueFi USD,0.038405,-0.000502,40.765M,1.805M,40.765M
Metadium USD,0.024133,-0.00039,40.721M,1.411M,40.721M
DeFi Pulse Index USD,72.67,0.33,40.621M,"29,998",40.621M
ASD USD,0.061106,-0.000903,40.367M,4.282M,40.367M
Efinity Token USD,0.063142,0.000141,40.286M,"535,633",40.286M
Metacraft USD,0.762594,-0.001573,40.159M,690,40.159M
Mines of Dalarnia USD,0.099988,-0.000628,39.891M,11.004M,39.891M
Wanchain USD,0.202368,0.000128,39.826M,1.259M,39.826M
